"Kriminalitas - Jumlah Kejahatan yang Dilaporkan Menurut Kepolisian Resort di Provinsi Jawa Timur, 2019-2022",,,,,,
"Kabupaten/Kota
Regency/Municipality",,Jumlah Kejahatan yang Dilaporkan/Crime Total,,,,
,,2019,2020,2021,2022,
Kabupaten/Regency,,,,,,
Pacitan,,108,72,47,300,
Ponorogo,,557,402,150,911,
Trenggalek,,518,595,205,709,
Tulungagung,,880,538,749,"1,787",
Blitar,,481,304,271,"2,238",
Kediri,,1159,862,840,"1,710",
Malang,,"2,383",1850,"1,997","2,010",
Lumajang,,312,356,589,"1,378",
Jember,,"1,776",1061,"1,574","2,773",
Banyuwangi,,564,893,"1,312","2,545",
Bondowoso,,239,378,679,947,
Situbondo,,761,296,341,911,
Probolinggo,,289,231,379,"1,057",
Pasuruan,,455,459,994,"1,480",
Sidoarjo,,"3,172",1760,"1,013","3,344",
Mojokerto,,458,427,691,"1,315",
Jombang,,1433,1056,401,"2,243",
Nganjuk,,1443,668,428,"1,404",
Madiun,,938,268,103,"1,293",
Magetan,,744,699,876,"1,304",
Ngawi,,954,599,"1,107","1,292",
Bojonegoro,,473,391,430,"1,314",
Tuban,,747,365,570,"1,208",
Lamongan,,334,258,338,"1,509",
Gresik,,940,1183,"1,803","2,184",
Bangkalan,,514,392,935,976,
Sampang,,358,392,663,725,
Pamekasan,,283,353,647,"1,307",
Sumenep,,342,538,198,759,
Kota/Municipality,,,,,,
Kediri,,875,558,506,"1,047",
Blitar,,903,458,422,"1,217",
Malang,,896,1006,494,"1,603",
Probolinggo,,406,417,287,886,
Pasuruan,,271,415,528,893,
Mojokerto,,341,210,417,"1,353",
Madiun,,816,388,65,"1,132",
Surabaya,,"3,377",1647,"1,648","8,759",
Batu,,256,70,147,413,
Jawa Timur,,"31,419","24,186","24,844","60,236",
"Catatan/Note:  1  . = jam/hours;  ‘ = menit/minutes;  “ = detik/second
Sumber/Source: Kepolisian Daerah Jawa Timur/Police Headquarters of Jawa Timur Province",,,,,,
