kecamatan,tahun,jumlah_kejahatan
Pacitan,2019,108.0
Pacitan,2020,72.0
Pacitan,2021,47.0
Pacitan,2022,300.0
Ponorogo,2019,557.0
Ponorogo,2020,402.0
Ponorogo,2021,150.0
Ponorogo,2022,911.0
Trenggalek,2019,518.0
Trenggalek,2020,595.0
Trenggalek,2021,205.0
Trenggalek,2022,709.0
Tulungagung,2019,880.0
Tulungagung,2020,538.0
Tulungagung,2021,749.0
Tulungagung,2022,1787.0
Blitar,2019,481.0
Blitar,2020,304.0
Blitar,2021,271.0
Blitar,2022,2238.0
Kediri,2019,1159.0
Kediri,2020,862.0
Kediri,2021,840.0
Kediri,2022,1710.0
Malang,2019,2383.0
Malang,2020,1850.0
Malang,2021,1997.0
Malang,2022,2010.0
Lumajang,2019,312.0
Lumajang,2020,356.0
Lumajang,2021,589.0
Lumajang,2022,1378.0
Jember,2019,1776.0
Jember,2020,1061.0
Jember,2021,1574.0
Jember,2022,2773.0
Banyuwangi,2019,564.0
Banyuwangi,2020,893.0
Banyuwangi,2021,1312.0
Banyuwangi,2022,2545.0
Bondowoso,2019,239.0
Bondowoso,2020,378.0
Bondowoso,2021,679.0
Bondowoso,2022,947.0
Situbondo,2019,761.0
Situbondo,2020,296.0
Situbondo,2021,341.0
Situbondo,2022,911.0
Probolinggo,2019,289.0
Probolinggo,2020,231.0
Probolinggo,2021,379.0
Probolinggo,2022,1057.0
Pasuruan,2019,455.0
Pasuruan,2020,459.0
Pasuruan,2021,994.0
Pasuruan,2022,1480.0
Sidoarjo,2019,3172.0
Sidoarjo,2020,1760.0
Sidoarjo,2021,1013.0
Sidoarjo,2022,3344.0
Mojokerto,2019,458.0
Mojokerto,2020,427.0
Mojokerto,2021,691.0
Mojokerto,2022,1315.0
Jombang,2019,1433.0
Jombang,2020,1056.0
Jombang,2021,401.0
Jombang,2022,2243.0
Nganjuk,2019,1443.0
Nganjuk,2020,668.0
Nganjuk,2021,428.0
Nganjuk,2022,1404.0
Madiun,2019,938.0
Madiun,2020,268.0
Madiun,2021,103.0
Madiun,2022,1293.0
Magetan,2019,744.0
Magetan,2020,699.0
Magetan,2021,876.0
Magetan,2022,1304.0
Ngawi,2019,954.0
Ngawi,2020,599.0
Ngawi,2021,1107.0
Ngawi,2022,1292.0
Bojonegoro,2019,473.0
Bojonegoro,2020,391.0
Bojonegoro,2021,430.0
Bojonegoro,2022,1314.0
Tuban,2019,747.0
Tuban,2020,365.0
Tuban,2021,570.0
Tuban,2022,1208.0
Lamongan,2019,334.0
Lamongan,2020,258.0
Lamongan,2021,338.0
Lamongan,2022,1509.0
Gresik,2019,940.0
Gresik,2020,1183.0
Gresik,2021,1803.0
Gresik,2022,2184.0
Bangkalan,2019,514.0
Bangkalan,2020,392.0
Bangkalan,2021,935.0
Bangkalan,2022,976.0
Sampang,2019,358.0
Sampang,2020,392.0
Sampang,2021,663.0
Sampang,2022,725.0
Pamekasan,2019,283.0
Pamekasan,2020,353.0
Pamekasan,2021,647.0
Pamekasan,2022,1307.0
Sumenep,2019,342.0
Sumenep,2020,538.0
Sumenep,2021,198.0
Sumenep,2022,759.0
Kediri,2019,875.0
Kediri,2020,558.0
Kediri,2021,506.0
Kediri,2022,1047.0
Blitar,2019,903.0
Blitar,2020,458.0
Blitar,2021,422.0
Blitar,2022,1217.0
Malang,2019,896.0
Malang,2020,1006.0
Malang,2021,494.0
Malang,2022,1603.0
Probolinggo,2019,406.0
Probolinggo,2020,417.0
Probolinggo,2021,287.0
Probolinggo,2022,886.0
Pasuruan,2019,271.0
Pasuruan,2020,415.0
Pasuruan,2021,528.0
Pasuruan,2022,893.0
Mojokerto,2019,341.0
Mojokerto,2020,210.0
Mojokerto,2021,417.0
Mojokerto,2022,1353.0
Madiun,2019,816.0
Madiun,2020,388.0
Madiun,2021,65.0
Madiun,2022,1132.0
Surabaya,2019,3377.0
Surabaya,2020,1647.0
Surabaya,2021,1648.0
Surabaya,2022,8759.0
Batu,2019,256.0
Batu,2020,70.0
Batu,2021,147.0
Batu,2022,413.0
