_id,Kecamatan,Difteri,Pertusis,Tetanus Neonatorum,Hepatitis B,Suspek Campak
1,Asemrowo,0,0,0,0,4
2,Benowo,1,0,0,0,6
3,Bubutan,0,0,0,0,11
4,Bulak,0,0,0,0,14
5,Dukuh Pakis,0,0,0,0,5
6,Gayungan,1,0,0,0,3
7,Genteng,0,0,0,0,11
8,Gubeng,1,0,0,0,11
9,Gunung Anyar,0,0,0,0,5
10,Jambangan,0,0,0,0,9
11,Karang Pilang,1,0,0,0,4
12,Kenjeran,1,0,1,0,45
13,Krembangan,0,0,0,0,31
14,Lakarsantri,1,0,0,0,8
15,Mulyorejo,1,0,0,0,5
16,Pabean Cantikan,0,0,0,0,8
17,Pakal,0,0,0,0,5
18,Rungkut,1,0,0,0,9
19,Sambikerep,0,0,0,0,10
20,Sawahan,1,0,0,0,17
21,Semampir,0,0,0,0,59
22,Simokerto,0,0,0,0,9
23,Sukolilo,0,0,0,0,21
24,Sukomanunggal,0,0,0,0,15
25,Tambaksari,1,0,0,0,41
26,Tandes,0,0,0,0,7
27,Tegalsari,0,0,0,0,7
28,Tenggilis,0,0,0,0,6
29,Wiyung,0,0,0,0,11
30,Wonocolo,1,0,0,0,28
31,Wonokromo,2,0,0,0,23
