_id,Kecamatan,Difteri,Pertusis,Tetanus Neonatorum,Hepatitis B,Suspek Campak
1,Asemrowo,1,1,0,0,6
2,Benowo,0,0,0,0,5
3,Bubutan,1,0,0,2,16
4,Bulak,0,0,0,0,23
5,Dukuh Pakis,2,0,0,0,4
6,Gayungan,3,1,0,0,8
7,Genteng,0,0,0,0,7
8,Gubeng,1,0,0,0,22
9,Gunung Anyar,0,0,0,0,4
10,Jambangan,0,0,0,0,4
11,Karang Pilang,1,0,0,0,8
12,Kenjeran,2,5,0,1,85
13,Krembangan,0,0,0,0,28
14,Lakarsantri,0,0,0,0,5
15,Mulyorejo,0,0,0,0,11
16,Pabean Cantikan,1,2,0,0,15
17,Pakal,0,0,0,0,5
18,Rungkut,1,3,0,0,17
19,Sambikerep,0,0,0,0,6
20,Sawahan,3,0,0,0,24
21,Semampir,2,0,0,0,86
22,Simokerto,0,0,0,0,18
23,Sukolilo,4,2,0,0,26
24,Sukomanunggal,2,1,0,1,17
25,Tambaksari,1,1,0,0,49
26,Tandes,1,0,0,0,8
27,Tegalsari,0,0,0,0,10
28,Tenggilis,0,0,0,0,4
29,Wiyung,2,0,0,0,9
30,Wonocolo,0,1,0,0,12
31,Wonokromo,2,3,1,0,21
