kode_provinsi;nama_provinsi;kode_kota;nama_kota;kode_kecamatan_kemendagri;kode_kecamatan_bps;kecamatan;jenis_faskes;penyelenggara_faskes;nama_faskes;periode;tahun
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Puskesmas Induk;Pemerintah Kota;Puskesmas Kedurus;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Kebraon;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Warugunung;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Apotek;swasta;PALAPA JAYA;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Apotek;swasta;DERY FARMA;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Apotek;swasta;K 3;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Apotek;swasta;VIVA GENERIK GRIYA KEBRAON;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Apotek;swasta;PUSPASARI KEDURUS;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Apotek;swasta;K24 MASTRIP;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Apotek;swasta;INDERA;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Toko Obat;swasta;LOTTE SHOPPING INDONESIA;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Toko Obat;swasta;SUPER INDO MASTRIP;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Klinik Pratama;swasta;SARTIKA 44;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Klinik Pratama;swasta;PUTRI RAHAYU;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Klinik Pratama;swasta;NAYAKA HUSADA KEBRAON;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Klinik Pratama;swasta;PHC KEBRAON;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357801;3578010;Karang Pilang;Klinik Pratama;lainnya;SUTEDI SENAPUTRA;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Rumah Sakit Khusus;Swasta;RS Ibu dan Anak Cempaka Putih Permata;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Puskesmas Induk;Pemerintah Kota;Puskesmas Kebonsari;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Jambangan;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Karah;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Ketintang;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Pagesangan;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Apotek;swasta;JAMBANGAN;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Apotek;swasta;KEBONSARI;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Apotek;swasta;K - 24 KEBONSARI;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Apotek;swasta;UMI;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Apotek;swasta;K-24 KARAH;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Apotek;lainnya;KIMIA FARMA KEBONSARI;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Apotek;swasta;ALTHA;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Apotek;swasta;9 Bintang Farma;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Klinik Pratama;swasta;ST. VINCENTIUS A PAULO (KARAH);Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357823;3578020;Jambangan;Klinik Pratama;swasta;BK 10;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357822;3578030;Gayungan;Rumah Sakit Khusus;Pemerintah Provinsi;RS Mata Masyarakat Jawa Timur;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357822;3578030;Gayungan;Rumah Sakit Umum;TNI/POLRI;RS Bhayangkara TK II HS. Samsoeri Mertojoso;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357822;3578030;Gayungan;Rumah Sakit Umum;Swasta;RS Bhakti Rahayu;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357822;3578030;Gayungan;Puskesmas Induk;Pemerintah Kota;Puskesmas Gayungan;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357822;3578030;Gayungan;Puskesmas Pembantu (Pustu);Pemerintah Kota;Pustu Dukuh Menanggal;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357822;3578030;Gayungan;Labkesda/GFK;Pemerintah Kota;Labkesda Kota Surabaya;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357822;3578030;Gayungan;Apotek;swasta;DHARMA;Januari;2023
35;JAWA TIMUR;3578;KOTA SURABAYA;357822;3578030;Gayungan;Apotek;swasta;NEW BINTANG;Januari;2023
