_id,Kecamatan,Jenis Faskes,Penyelenggara Faskes,Nama Faskes
1,Asemrowo,Puskesmas Induk,Pemerintah Kota,Puskesmas Asemrowo
2,Asemrowo,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Tambak Langon
3,Asemrowo,Klinik Pratama,swasta,NAYAKA HUSADA 03
4,Benowo,Apotek,lainnya,KIMIA FARMA BUKIT PALMA
5,Benowo,Rumah Sakit Umum,Pemerintah Kota,RS Umum Daerah Bhakti Dharma Husada
6,Benowo,Puskesmas Induk,Pemerintah Kota,Puskesmas Sememi
7,Benowo,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Kandangan
8,Benowo,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Romo Kalisari
9,Benowo,Rumah Sakit Umum,Swasta,RS Bunda
10,Benowo,Apotek,swasta,KANDANGAN
11,Benowo,Apotek,swasta,K - 96
12,Benowo,Apotek,swasta,VIVA GENERIK KLAKAH REJO
13,Benowo,Apotek,swasta,RENO FARMA
14,Benowo,Apotek,swasta,HAPSARI
15,Benowo,Apotek,swasta,BENOWO APPOTIK
16,Benowo,Apotek,swasta,KUSURI MAINCARE
17,Benowo,Apotek,swasta,Wahyu Buana Medika
18,Benowo,Apotek,swasta,Pahala Bukit Palma
19,Benowo,Klinik Pratama,swasta,KARYA MEDIKA 111
20,Benowo,Klinik Pratama,swasta,DOKTER ANANG SURABAYA
21,Bubutan,Puskesmas Induk,Pemerintah Kota,Puskesmas Gundih
22,Bubutan,Puskesmas Induk,Pemerintah Kota,Puskesmas Tembok Dukuh
23,Bubutan,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Asem Jajar
24,Bubutan,Rumah Sakit Khusus,Swasta,RS Ibu dan Anak IBI Surabaya
25,Bubutan,Apotek,swasta,USAHA
26,Bubutan,Apotek,swasta,KALIBUTUH
27,Bubutan,Apotek,swasta,PRODERMA
28,Bubutan,Apotek,swasta,FILLINA
29,Bubutan,Apotek,swasta,NOVEM
30,Bubutan,Apotek,swasta,MEGA SURYA
31,Bubutan,Apotek,swasta,VIVA APOTEK PURWODADI
32,Bubutan,Toko Obat,swasta,CARREFOUR BUBUTAN
33,Bubutan,Toko Obat,swasta,XING LIN
34,Bubutan,Toko Obat,swasta,Super Indo Apartemen Gunawangsa
35,Bubutan,Klinik Pratama,swasta,Anugerah Karya Medika 102
36,Bubutan,Klinik Pratama,swasta,DON BOSCO
37,Bubutan,Klinik Pratama,swasta,SAMARIA
38,Bubutan,Klinik Pratama,swasta,DERMALOVE SCIENCE OF BEAUTY
39,Bulak,Apotek,lainnya,Kimia Farma Suramadu
40,Bulak,Puskesmas Induk,Pemerintah Kota,Puskesmas Kenjeran
41,Bulak,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Bulak
42,Bulak,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Kedung Cowek
43,Bulak,Apotek,swasta,VIVA APOTEK BULAK SETRO
44,Bulak,Apotek,swasta,BITA MEDIKA
45,Bulak,Apotek,swasta,Efi Barokah
46,Bulak,Toko Obat,swasta,DWIJAYA SENTOSA ABADI
47,Bulak,Klinik Pratama,TNI/POLRI,KENJERAN DISKES LANTAMAL V
48,Bulak,Klinik Pratama,TNI/POLRI,PUSDIKLAT HANUDNAS
49,Darmo,Klinik Pratama,swasta,KIMIA FARMA DARMO
50,Dukuh Pakis,Apotek,lainnya,KIMIA FARMA 52
51,Dukuh Pakis,Klinik Pratama,lainnya,GUNUNGSARI
52,Dukuh Pakis,Puskesmas Induk,Pemerintah Kota,Puskesmas Dukuh Kupang
53,Dukuh Pakis,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Gunungsari
54,Dukuh Pakis,Puskesmas Pembantu (Pustu),Pemerintah Kota,Pustu Pradah Kali Kendal
55,Dukuh Pakis,Apotek,swasta,DUTA FARMA
56,Dukuh Pakis,Apotek,swasta,TIARA
57,Dukuh Pakis,Apotek,swasta,TIARA BUKIT DARMO
58,Dukuh Pakis,Apotek,swasta,ETIKA FARMA
59,Dukuh Pakis,Apotek,swasta,INDAH FARMA
60,Dukuh Pakis,Apotek,swasta,PHARMACARE
61,Dukuh Pakis,Apotek,swasta,E - MEDICA
62,Dukuh Pakis,Apotek,swasta,GUARDIAN SURABAYA CIPUTRA WORLD
63,Dukuh Pakis,Apotek,swasta,K - 24 DUKUH KUPANG
64,Dukuh Pakis,Apotek,swasta,SIAGA FARMA 2
65,Dukuh Pakis,Apotek,swasta,MAHARVA MEDIKA
66,Dukuh Pakis,Apotek,swasta,WATSONS LENMARC
67,Dukuh Pakis,Apotek,swasta,Halomedika Dukuh Pakis
68,Dukuh Pakis,Toko Obat,swasta,HYPERMART CIPUTRA WORLD
69,Dukuh Pakis,Toko Obat,swasta,toko Obat PT. Trans Retail Indonesia Cabang Transmart Carrefour Lenmarc Surabaya
70,Dukuh Pakis,Toko Obat,swasta,Super Indo HR. Muhammad
71,Dukuh Pakis,Klinik Utama,swasta,GIGI SEHAT
72,Dukuh Pakis,Klinik Pratama,swasta,ANUGRAH
73,Dukuh Pakis,Klinik Pratama,swasta,REDEMPTOR MUNDI
74,Dukuh Pakis,Klinik Pratama,swasta,Q - LIFE KLINIK
75,Dukuh Pakis,Klinik Pratama,swasta,TANATA
76,Dukuh Pakis,Klinik Pratama,swasta,ERNADE
77,Dukuh Pakis,Klinik Pratama,swasta,MAHARVA
78,Dukuh Pakis,Klinik Pratama,swasta,DIANDRA
79,Dukuh Pakis,Klinik Pratama,swasta,DERMASTER
80,Dukuh Pakis,Klinik Pratama,swasta,dr. MF
81,Dukuh Pakis,Klinik Pratama,swasta,MEDIKA HOLISTIK
